sample_uid,gold_label,comment,source,script
30140,sexual,সাফা কবির একটা মাগী মোশারফ করিমের মত সবাই ওর নাটক বয়কট করবেন,facebook_44001,bangla
82591,none,Jamat ke help korbe Pakistan Inshallah,banth,romanized
50214,sexual,কয় কেজি লাগাইছে,multilabel_12557,bangla
68193,none,"Faraunar basca tui ki,",banth,romanized
55315,none,2:07 eta sera chilo.. . Apnar budhi [EMOJI],banth,romanized
47254,none,সেই দোস ভিডিওটা রিপ্লাই চায়,multilabel_12557,bangla
54132,threat,দু সালা তরে জুতা মাড়ি শাকিব খান আছে ত,multilabel_12557,bangla
88395,none,Manoniya montri social media rul regulation jari korun desh berodi Kono kisu upload Korte parbena,banth,romanized
62973,none,Pura Bangladesh tai aj potitaloi.. [EMOJI],banth,romanized
15582,none,অসাধারণ মানুষ। এগিয়ে যান।,facebook_44001,bangla
72725,abusive,Asuk hasina ore upta koira chpda hbe,banth,romanized
77949,none,eto halka vabe apnar biday ta mante pari ni but apni ja kortesilen apnar vagge hoyto emontai lekha chilo. we will remember you always.,banth,romanized
9451,none,বাংলাদেশে দুই জন রিয়েল হিরো অন্ত জলিল আর হিরো আমার [EMOJI],facebook_44001,bangla
69106,none,Manik mamuke dekhe kichu sikhre ganda,banth,romanized
36449,sexual,জায়েদ খান কেডা জায়েদ তার মার পেটে চিল জখন। তার আগে তেকে হির আলম চিল বগা খান তুই তর মারে চুদ কুওার বাচচা তুরে কয়ডা লুকে চিনেরে খানকির পুত হির আলমকে বিশস চিনে সে জাইক তদের তেকে হাজার গুন বাল। । তদের কারনে আজ বাংলার চল চিএ দংশ। তর বিডিয় কয়টা দেখে মানুষ হির আলমের হাজারটা দেখে দেসে বিদেসে। আর জদী কুনু দীন লাইবে বা ওনলাইনে তরে দেখমু তর মার ভদা দীয়া আবার রিটান বরে দীমু বান্দির বাচ্চা। চুদা খান। তর মার বদাখান নাম লাগাবে এখন তেকে। তুই হির আলমের জুতর জজ্ঞ না,facebook_44001,bangla
4474,threat,সালা সুয়ারের বাচ্চা হাত কেটে ফেলতে হবে,bd_shs,bangla
9204,none,শুভ কামনা। ঈদ মোবারক।,facebook_44001,bangla
65730,abusive,Dhon korsen vayya shei hoise [EMOJI],banth,romanized
39085,religious,সাফা কাবির নাস্তিকে জিতামেরে বের ক র,facebook_44001,bangla
43553,none,খুশি তে মড়ি যাচ্চি,facebook_44001,bangla
43006,none,বছ,facebook_44001,bangla
16080,none,দারুক লাগতেছে আপু,facebook_44001,bangla
6524,religious,আওয়ামীলিগ হিন্দুদের কতো সুবিদা দিলো তার ফলাফল।,facebook_44001,bangla
47869,sexual,আজকে মনে হয় আধাঘন্টা বেশি করছে,multilabel_12557,bangla
62432,none,Saidi saheb apnar sotru keno ai bisoye live cai,banth,romanized
26647,none,নাটকের গান দুটো কবে রিলিজ পাবে??,facebook_44001,bangla
1116,none,ধন্যবাদ তাহসিন ভাই খুব সুন্দর ভাবে উপস্থাপন করেছেন � [EMOJI],bd_shs,bangla
3824,abusive,কুতার বাচ্চা সব গুলা,bd_shs,bangla
79023,none,Ovinoye novel dewa dorkar,banth,romanized
18991,sexual,এসব ফালতু অভিনেত্রী মার্কেট নাই তাই একটু নিউজে এসে মার্কিন ভিসা পেতে চাই।মার্কিন আব্বারা আমাকে বাচাও এদেশের কিছু মুসলিম আমাকে হুমকি দিচ্ছে।,facebook_44001,bangla
1793,none,তুই ই তো ভিউজের জন্য বেশি হাইলাইট করলি আবার আরেকজনকে চুতিয়া বলিস।শুদ্ধ করে কথা বলা শিখে এর পর ভিডিও বানা।কথাও বলতে পারে না ঠিক মত আইছে ইউটিউবার,bd_shs,bangla
46603,sexual,এই কানকির পুত হিরো আলম তোর জন্য বাংলা সিনেমা এখন হাস্যকর হতে যাচ্ছে? তুই তর চেহাড়া কখনো আয়নাতে দেখেছিস সত্যি বল? কানকির পুত তর চাপা ভেংগে গেছে হাত মারছ ১০০%,facebook_44001,bangla
53175,none,ফলো করলে ফলো পাবেন সাপোর্ট দিলে সাপোর্ট পাবেন একশ,multilabel_12557,bangla
57466,none,sob Tk jobdo Kora hok [EMOJI] Desh ar Tk Desh andare bank a joma hok,banth,romanized
91008,abusive,"ainer gosdi kilai, ader ke pele sathe sathe gonodolai diye mere felbe, tanahole ara ainer fakfokor diye abar beriye jabe",banth,romanized
37786,sexual,একমাত্র বুবলিই যে তুমার আপনজন তা কাউকে এভাবে বুজাতে হবেনা সবাই জানে ভাই বুবলির জন্য আবার বাবা হতে যাচ্ছ,facebook_44001,bangla
10319,none,হিরো আলম রাইট,facebook_44001,bangla
77017,none,Osike podotag kra hok,banth,romanized
32399,abusive,"ফাকিং টাইম, সাফা কাছে এসো আমরা লুডু খেলবো",facebook_44001,bangla
69431,none,Tmi aso tmaro parek dokabo,banth,romanized
3663,threat,এই সালা কে জুতার মালা দিয়ে সারা শহর ঘুরানো উচিত শালা কুত্তার বাচ্চা,bd_shs,bangla
86075,none,Suna khushi hoylam,banth,romanized
22280,none,অহ হেব্বি লাগছে অহ হেটা দেখা যাচ্ছে,facebook_44001,bangla
83291,none,akon boje kono lab ney..police ke are kono sar deya jabe na..e sob natok eder..police sob rajakar.. tader ke prosno korun jara sohid hoyece..tader ke pireye dite parle.. tobey jati tader koma korbe..,banth,romanized
85270,abusive,ami ke tomi ke rajakar rajakar.ke bolesc soirachar soirachar,banth,romanized
64457,none,No criminal hasina,banth,romanized
88678,abusive,Benojir kunir fashi cahai,banth,romanized
56181,abusive,Naghta Kora dao,banth,romanized
49247,none,আমি ঐ খানে ই হার্ট অ্যাটাক করবো,multilabel_12557,bangla
62687,abusive,Police hoilo bejonma,banth,romanized
90442,none,bangldeshi manush abar 50 lakh manush morbe tarpor bangladeshe manush shanto hobe,banth,romanized
71061,none,Allah tumi amader ke rokha koron ei jalider hat theke,banth,romanized
77223,none,banlades r jeto oci new oc neog koren,banth,romanized
27291,none,"অপেক্ষায় আছে প্রিয় কিংবদন্তিদের লাইভের জন্য। [EMOJI] পজ্ঞকান্ডব হলে আরো মজা হতো,মিস করব নবাবকে [HASHTAG] TI28",facebook_44001,bangla
76472,none,Kalo sart Biliyant,banth,romanized
64029,none,0 s0bb0 ara s0bai,banth,romanized
75729,none,Ader ghora ma bon nai ai jonno ara amon korca ontoto akta asami hisababa taka sonman dakhano ucit oswvo jati,banth,romanized
58067,abusive,Oboido dokabaj mafiya pilkhanay hotta safla sottor alemder hotta gum shordakat durnitibaj votdakati bankdakat killer hasina tar onusarira sara kew balo nai pura jati k pokir baniye dilo durbikkho modde fele disse killer hasina unnoyoner nam diye pura jati k,banth,romanized
52376,abusive,জনি দাদা লাগবে,multilabel_12557,bangla
90269,none,Aita Netebasok otacer,banth,romanized
47629,none,সাপোর্ট করেন একটু আমায়,multilabel_12557,bangla
9247,abusive,জব্বর একটা কথা চোদালছো তো!!,facebook_44001,bangla
93189,sexual,ঐখানে কর,multilabel_12557,bangla
30697,none,এমন কখনো তো আমার জীবনে হলো না!হয়তো তোমার লাইফের প্রত্যেকটা মূহুর্ত এইটা তুমি অনুভব করছো!!বি:দ্র::-এমবি না থাকায় আপডেট লুকটা মিস করলাম!!,facebook_44001,bangla
63084,none,Government er tk jodi sothik jaigai use krto erkm onk kichui komto,banth,romanized
77144,abusive,Oita kuttaliger soto baby ore cut koro,banth,romanized
1238,none,রুবেল খুব চালাক?,bd_shs,bangla
90775,abusive,J hath diye guli koreche ami okane thakle thar oi hathta prothome venge feltham pore ain ake ora astha rakse keno ami bujthe pari nai??,banth,romanized
2664,abusive,দেওয়ানবাগীকে সরকারি ভাবেও কিছু করা যাবে না।কারন অনেক বড় বড় রাজনীতিবিদ বিজনেস ম্যান দেওয়ানবাগীর পোষা কুকুর,bd_shs,bangla
